retail_type,date_period,turnover_index,average_anual_variation_rate,Year_on_year_rate_of_change,monthly_rate_of_change
"4719: Comércio a retalho em estabelecimentos não especializados, sem predominância de produtos alimentares, bebidas ou tabaco",Outubro de 2023,144.7,6,7.3,7.6
,Setembro de 2023,134.48,6.3,1.4,-0.7
,Agosto de 2023,135.36,7.2,1.3,-5.2
,Julho de 2023,,,,
,Junho de 2023,129.18,9.2,10.1,5.3
,Maio de 2023,122.63,8.9,3.2,4.6
,Abril de 2023,117.26,9.2,0.8,-4.7
,Março de 2023,122.99,10.6,10.9,12.8
,Fevereiro de 2023,109.01,11,8.9,-15.4
,Janeiro de 2023,128.78,11.2,10.4,-39
,Dezembro de 2022,211.24,11.4,11.1,22.2
,Novembro de 2022,172.81,10.4,3.3,28.1
,Outubro de 2022,134.9,11.6,11.2,1.7
,Setembro de 2022,132.6,11.4,13.7,-0.7
,Agosto de 2022,133.6,11.1,10.5,-3.4
,Julho de 2022,138.24,10.8,17.1,17.8
,Junho de 2022,117.38,9.4,7.2,-1.3
,Maio de 2022,118.88,9.5,6.4,2.1
,Abril de 2022,116.38,11,20.2,4.9
,Março de 2022,110.91,10.9,16.8,10.8
,Fevereiro de 2022,100.13,11.1,11.4,-14.2
,Janeiro de 2022,116.69,10.1,14,-38.6
,Dezembro de 2021,190.13,8.6,3.5,13.6
,Novembro de 2021,167.3,8,12.9,37.9
,Outubro de 2021,121.28,6.8,9.7,4
,Setembro de 2021,116.6,6.3,10,-3.5
,Agosto de 2021,120.86,5.4,6.3,2.4
,Julho de 2021,118.06,5.2,1,7.8
,Junho de 2021,109.47,5.5,8.3,-2
,Maio de 2021,111.68,4,27.9,15.4
,Abril de 2021,96.79,0.7,21.7,1.9
,Março de 2021,94.97,-2.3,20.6,5.7
,Fevereiro de 2021,89.88,-5.2,-2.3,-12.2
,Janeiro de 2021,102.35,-4.9,-4.6,-44.3
,Dezembro de 2020,183.69,-4.7,-0.7,23.9
,Novembro de 2020,148.2,-5,1.8,34
,Outubro de 2020,110.6,-5.3,3,4.3
,Setembro de 2020,106.02,-6,-0.8,-6.7
,Agosto de 2020,113.67,-6.4,4.3,-2.7
,Julho de 2020,116.88,-7.7,3.4,15.6
,Junho de 2020,101.07,-8.4,-8.8,15.8
,Maio de 2020,87.31,-7.4,-18.4,9.8
,Abril de 2020,79.51,-5.9,-22.5,1
,Março de 2020,78.73,-3.8,-24.4,-14.4
,Fevereiro de 2020,91.99,-1.9,2,-14.3
,Janeiro de 2020,107.3,-1.9,-1.4,-42
,Dezembro de 2019,184.93,-3.1,-3.3,27
,Novembro de 2019,145.56,-2.1,-3.6,35.5
,Outubro de 2019,107.43,-0.7,-5.3,0.6
,Setembro de 2019,106.83,0.1,-5.8,-1.9
,Agosto de 2019,108.94,1.1,-9.8,-3.6
,Julho de 2019,113.03,2.8,-6.1,2
,Junho de 2019,110.8,3.7,5.4,3.6
,Maio de 2019,106.98,3.7,1.9,4.3
,Abril de 2019,102.59,4.3,6.7,-1.5
,Março de 2019,104.16,4.1,1.9,15.5
,Fevereiro de 2019,90.2,4.8,2.4,-17.1
,Janeiro de 2019,108.83,5,-15.4,-43.1
"4730: Comércio a retalho de combustível para veículos a motor, em estabelecimentos especializados",Outubro de 2023,135.58,-6.1,-4.7,3
,Setembro de 2023,131.62,-5.3,-2.6,-3.2
,Agosto de 2023,136,-4.6,-10.4,-0.1
,Julho de 2023,,,,
,Junho de 2023,122.41,-0.7,-16,-3.7
,Maio de 2023,127.13,2.4,-13.8,5.8
,Abril de 2023,120.19,5.3,-7.6,-7.4
,Março de 2023,129.77,7.3,-11.9,11.8
,Fevereiro de 2023,116.09,11.6,-3.4,-6.6
,Janeiro de 2023,124.27,14.6,7.6,-1.3
,Dezembro de 2022,125.94,16,1.6,-3.7
,Novembro de 2022,130.79,17.7,2.2,-8.1
,Outubro de 2022,142.31,20.3,5.9,5.3
,Setembro de 2022,135.17,22.4,6.1,-11
,Agosto de 2022,151.81,23.7,12.2,2
,Julho de 2022,148.86,24.1,14.4,2.1
,Junho de 2022,145.77,24.3,19.9,-1.2
,Maio de 2022,147.48,24.8,20.3,13.4
,Abril de 2022,130.04,26.5,17.2,-11.7
,Março de 2022,147.31,29.8,40.3,22.6
,Fevereiro de 2022,120.16,26.7,41.4,4.1
,Janeiro de 2022,115.48,20.5,28.1,-6.9
,Dezembro de 2021,123.98,15.2,20.7,-3.1
,Novembro de 2021,128.01,11.2,34.1,-4.7
,Outubro de 2021,134.33,6.5,29.3,5.4
,Setembro de 2021,127.39,2.3,18.6,-5.9
,Agosto de 2021,135.33,-0.3,15.4,4
,Julho de 2021,130.15,-3.1,14.8,7.1
,Junho de 2021,121.55,-6,25,-0.8
,Maio de 2021,122.59,-9.7,42,10.5
,Abril de 2021,110.93,-15,69.8,5.6
,Março de 2021,105,-21.6,5.5,23.5
,Fevereiro de 2021,84.99,-23.1,-27.1,-5.7
,Janeiro de 2021,90.17,-20.6,-26.4,-12.2
,Dezembro de 2020,102.73,-18.1,-20,7.6
,Novembro de 2020,95.44,-16.2,-20.5,-8.2
,Outubro de 2020,103.91,-14.9,-17.6,-3.3
,Setembro de 2020,107.43,-13.5,-11.4,-8.4
,Agosto de 2020,117.32,-12.8,-14.7,3.5
,Julho de 2020,113.33,-11.5,-16.8,16.6
,Junho de 2020,97.23,-9.7,-22.5,12.6
,Maio de 2020,86.32,-7.7,-34.2,32.1
,Abril de 2020,65.33,-4.6,-48.6,-34.4
,Março de 2020,99.55,0.4,-17.5,-14.6
,Fevereiro de 2020,116.53,2.1,7.1,-4.9
,Janeiro de 2020,122.55,1.6,5,-4.6
,Dezembro de 2019,128.4,1.5,2.8,7
,Novembro de 2019,120.02,1.4,-1.3,-4.8
,Outubro de 2019,126.09,2,-2.5,4
,Setembro de 2019,121.19,3.2,-4.6,-11.8
,Agosto de 2019,137.46,4.4,-0.5,0.9
,Julho de 2019,136.23,5.4,3,8.6
,Junho de 2019,125.39,6.1,1.3,-4.4
,Maio de 2019,131.14,6.7,2.3,3.1
,Abril de 2019,127.17,7.5,10.8,5.4
,Março de 2019,120.71,6.9,3.4,11
,Fevereiro de 2019,108.76,7,1.1,-6.8
,Janeiro de 2019,116.73,7.5,2.7,-6.6
CR5: Comércio a retalho de bens para o lar e similares,Outubro de 2023,170.29,4.1,2.2,2.8
,Setembro de 2023,165.63,5,2.6,-1.1
,Agosto de 2023,167.55,5.8,0,-8.4
,Julho de 2023,,,,
,Junho de 2023,169.03,7.7,4.4,-3.6
,Maio de 2023,175.32,8.1,3.8,14.5
,Abril de 2023,153.11,8.8,-3.1,-9.6
,Março de 2023,169.28,10.5,4,14.8
,Fevereiro de 2023,147.5,11.7,5.4,-5.3
,Janeiro de 2023,155.81,13,14.3,-12.7
,Dezembro de 2022,178.5,13.4,9.9,3.1
,Novembro de 2022,173.07,13.4,5.7,3.8
,Outubro de 2022,166.68,14.5,13,3.3
,Setembro de 2022,161.42,13.9,13.4,-3.7
,Agosto de 2022,167.58,13.3,12.9,-6.1
,Julho de 2022,178.55,12.9,10.5,10.2
,Junho de 2022,161.96,12.3,8.9,-4.1
,Maio de 2022,168.92,12.4,12,6.9
,Abril de 2022,157.99,13.5,17.9,-3
,Março de 2022,162.81,14.9,18.5,16.4
,Fevereiro de 2022,139.88,15.4,24.2,2.6
,Janeiro de 2022,136.31,13.3,19.6,-16.1
,Dezembro de 2021,162.45,11.4,9.9,-0.7
,Novembro de 2021,163.66,10.8,17.6,11
,Outubro de 2021,147.44,9.4,6.4,3.6
,Setembro de 2021,142.3,9.3,5.2,-4.1
,Agosto de 2021,148.46,10,8.8,-8.1
,Julho de 2021,161.61,9.7,4,8.6
,Junho de 2021,148.76,10,9.2,-1.4
,Maio de 2021,150.86,10.2,26.5,12.6
,Abril de 2021,134.03,7.6,44.1,-2.5
,Março de 2021,137.43,3.2,25.8,22.1
,Fevereiro de 2021,112.6,0.5,-3.5,-1.2
,Janeiro de 2021,113.97,1.3,-5.3,-22.9
,Dezembro de 2020,147.83,2.2,3.2,6.2
,Novembro de 2020,139.19,2.3,2.4,0.4
,Outubro de 2020,138.61,0.6,5.5,2.5
,Setembro de 2020,135.23,0.8,13.3,-0.9
,Agosto de 2020,136.44,0.2,5.3,-12.2
,Julho de 2020,155.44,1.2,6.4,14.1
,Junho de 2020,136.28,1.2,11.8,14.3
,Maio de 2020,119.23,0,-5.7,28.2
,Abril de 2020,93.01,0.8,-20.2,-14.8
,Março de 2020,109.21,3,-10.1,-6.4
,Fevereiro de 2020,116.68,4.2,7.2,-3.1
,Janeiro de 2020,120.38,4.3,5.5,-16
,Dezembro de 2019,143.27,4.5,4.7,5.4
,Novembro de 2019,135.94,4.7,3.1,3.5
,Outubro de 2019,131.34,4.9,3.9,10
,Setembro de 2019,119.38,5.3,2.6,-7.9
,Agosto de 2019,129.63,5.4,3.4,-11.2
,Julho de 2019,146.05,5.5,7.5,19.8
,Junho de 2019,121.92,5.5,-2.8,-3.6
,Maio de 2019,126.47,6.8,3.7,8.6
,Abril de 2019,116.49,7.2,8.2,-4.1
,Março de 2019,121.45,7.3,4.4,11.6
,Fevereiro de 2019,108.82,7.7,8.4,-4.6
,Janeiro de 2019,114.11,7.5,9,-16.6
"CR6: Comércio a retalho de têxteis, vestuário, calçado e artigos de couro",Outubro de 2023,110.49,8.9,-2.4,2.1
,Setembro de 2023,108.17,10.2,5.9,-5.6
,Agosto de 2023,114.61,10.9,2.5,-11.6
,Julho de 2023,,,,
,Junho de 2023,115.12,13.8,6.4,3.5
,Maio de 2023,111.23,14.6,4.7,-2.6
,Abril de 2023,114.22,15.5,14.8,19.3
,Março de 2023,95.75,18.6,23,19
,Fevereiro de 2023,80.44,22.8,7.2,-22.3
,Janeiro de 2023,103.5,28.9,20.3,-40.5
,Dezembro de 2022,173.98,32,17,41.5
,Novembro de 2022,122.97,31.8,3.7,8.7
,Outubro de 2022,113.15,36,13,10.8
,Setembro de 2022,102.14,35.8,15.3,-8.7
,Agosto de 2022,111.83,35.1,16.5,-7
,Julho de 2022,120.19,34.7,27.2,11.1
,Junho de 2022,108.18,32.9,15.7,1.8
,Maio de 2022,106.28,34.2,14.8,6.8
,Abril de 2022,99.52,41.8,76.9,27.8
,Março de 2022,77.86,44.5,212.1,3.7
,Fevereiro de 2022,75.05,35.4,276.8,-12.8
,Janeiro de 2022,86.03,17.9,76.2,-42.1
,Dezembro de 2021,148.65,6.1,13.1,25.4
,Novembro de 2021,118.54,-1.3,38.6,18.4
,Outubro de 2021,100.11,-8.9,9.6,13
,Setembro de 2021,88.62,-11.9,6.4,-7.7
,Agosto de 2021,96.03,-13.6,9.5,1.6
,Julho de 2021,94.52,-16.2,8.4,1.1
,Junho de 2021,93.49,-19.4,26.7,1
,Maio de 2021,92.59,-23.9,160.8,64.5
,Abril de 2021,56.27,-33.1,400.2,125.5
,Março de 2021,24.95,-40.9,-34.8,25.3
,Fevereiro de 2021,19.92,-42.3,-78.1,-59.2
,Janeiro de 2021,48.82,-36.7,-55.4,-62.8
,Dezembro de 2020,131.41,-32,-28.4,53.6
,Novembro de 2020,85.53,-28,-34.8,-6.4
,Outubro de 2020,91.35,-24.9,-21.4,9.7
,Setembro de 2020,83.26,-22.6,-14.7,-5.1
,Agosto de 2020,87.7,-21,-21.2,0.6
,Julho de 2020,87.16,-18.7,-27.6,18.1
,Junho de 2020,73.81,-16.3,-35.8,107.9
,Maio de 2020,35.5,-12.9,-67.4,215.6
,Abril de 2020,11.25,-7.1,-88.6,-70.6
,Março de 2020,38.29,0.1,-59.2,-57.8
,Fevereiro de 2020,90.79,4.4,12.3,-17.1
,Janeiro de 2020,109.55,3.8,6.7,-40.3
,Dezembro de 2019,183.64,3.7,1.6,39.9
,Novembro de 2019,131.24,3.7,4,12.9
,Outubro de 2019,116.28,3.8,5.1,19.1
,Setembro de 2019,97.6,4.4,8,-12.3
,Agosto de 2019,111.23,2.9,2.3,-7.6
,Julho de 2019,120.43,2.7,-0.6,4.8
,Junho de 2019,114.92,3,5,5.4
,Maio de 2019,109.02,2.9,3.7,10.3
,Abril de 2019,98.8,3,8.8,5.4
,Março de 2019,93.74,1.5,0.9,16
,Fevereiro de 2019,80.82,2.1,3.2,-21.3
,Janeiro de 2019,102.65,1.9,5.5,-43.2
"CR7: Comércio a retalho de computadores, equipamentos de telecomunicações, livros e outros produtos em estabelecimentos especializados",Outubro de 2023,123.27,3.4,0.8,-3.1
,Setembro de 2023,127.17,4.3,-4,4.4
,Agosto de 2023,121.83,5.9,-5.1,-5.5
,Julho de 2023,,,,
,Junho de 2023,123.28,8.6,3.9,-3.2
,Maio de 2023,127.35,9.5,5.2,8.7
,Abril de 2023,117.19,9.9,5.9,-8.1
,Março de 2023,127.58,10.2,1.1,11.8
,Fevereiro de 2023,114.11,12.5,3.3,-2.6
,Janeiro de 2023,117.13,15.3,14.8,-29.7
,Dezembro de 2022,166.59,15.8,5.9,24.9
,Novembro de 2022,133.34,16.3,7.8,9.1
,Outubro de 2022,122.25,16.8,12.3,-7.8
,Setembro de 2022,132.53,15.5,14.1,3.2
,Agosto de 2022,128.39,14.2,20.4,3.8
,Julho de 2022,123.71,12.4,12.4,4.3
,Junho de 2022,118.66,11,15.8,-2
,Maio de 2022,121.11,9.8,8.9,9.4
,Abril de 2022,110.66,11.4,10.5,-12.3
,Março de 2022,126.14,13.5,30,14.2
,Fevereiro de 2022,110.45,11.8,47.9,8.3
,Janeiro de 2022,102.03,6.6,21.5,-35.2
,Dezembro de 2021,157.38,3.5,9.9,27.2
,Novembro de 2021,123.7,2.3,12.3,13.7
,Outubro de 2021,108.84,1.2,-2.3,-6.3
,Setembro de 2021,116.13,1.3,-0.2,8.9
,Agosto de 2021,106.64,1.8,-0.7,-3.1
,Julho de 2021,110.04,1.5,-3.3,7.4
,Junho de 2021,102.5,1.9,1.2,-7.8
,Maio de 2021,111.17,2,32.6,11
,Abril de 2021,100.19,-2.2,45.7,3.3
,Março de 2021,97.02,-7.2,8.5,29.9
,Fevereiro de 2021,74.7,-8.8,-25,-11
,Janeiro de 2021,83.95,-6.7,-18.4,-41.4
,Dezembro de 2020,143.23,-5,-0.4,30
,Novembro de 2020,110.17,-4.5,-0.8,-1.1
,Outubro de 2020,111.37,-5.7,-0.8,-4.3
,Setembro de 2020,116.38,-5.3,4.6,8.4
,Agosto de 2020,107.41,-5,-3.6,-5.6
,Julho de 2020,113.83,-3.3,1.7,12.3
,Junho de 2020,101.33,-3.2,1.5,20.9
,Maio de 2020,83.83,-3.6,-23.5,21.9
,Abril de 2020,68.75,-1.4,-32.8,-23.1
,Março de 2020,89.41,1.7,-14.7,-10.2
,Fevereiro de 2020,99.54,3.4,3.7,-3.3
,Janeiro de 2020,102.92,3.6,3.3,-28.5
,Dezembro de 2019,143.87,3.5,4.8,29.6
,Novembro de 2019,111.03,2.7,2.6,-1.1
,Outubro de 2019,112.32,2.8,1.7,0.9
,Setembro de 2019,111.27,3.4,4.5,-0.2
,Agosto de 2019,111.46,2.6,5.7,-0.4
,Julho de 2019,111.96,1.9,2.2,12.1
,Junho de 2019,99.87,1.9,-3.8,-8.8
,Maio de 2019,109.52,2.6,3.4,7.1
,Abril de 2019,102.27,2.8,6.8,-2.5
,Março de 2019,104.84,2.7,5.7,9.3
,Fevereiro de 2019,95.95,2,6.9,-3.7
,Janeiro de 2019,99.65,1.8,1.5,-27.4
"CR8: Comércio a retalho de produtos farmacêuticos, médicos e ortopédicos, cosméticos e de higiene",Outubro de 2023,125.51,3,2.5,3.6
,Setembro de 2023,121.12,3.3,4.4,-2.8
,Agosto de 2023,124.61,3.5,5.8,-1.6
,Julho de 2023,,,,
,Junho de 2023,121.4,3.3,6.1,-2.8
,Maio de 2023,124.89,3.4,3.5,8.6
,Abril de 2023,114.99,4,2.6,-5.8
,Março de 2023,122.12,4.6,5,12.4
,Fevereiro de 2023,108.63,5.1,-0.2,-5.1
,Janeiro de 2023,114.51,6.6,-2.3,-20.4
,Dezembro de 2022,143.87,8.4,1.5,16.5
,Novembro de 2022,123.53,10.2,2.2,0.9
,Outubro de 2022,122.48,11.2,6.4,5.6
,Setembro de 2022,115.98,11.2,6.7,-1.5
,Agosto de 2022,117.77,11.1,6.1,-2.3
,Julho de 2022,120.51,11.4,2.7,5.3
,Junho de 2022,114.45,11.9,7.6,-5.2
,Maio de 2022,120.69,12.3,11.3,7.6
,Abril de 2022,112.13,13,9.7,-3.6
,Março de 2022,116.27,13.3,12.5,6.8
,Fevereiro de 2022,108.89,10.8,21.2,-7.1
,Janeiro de 2022,117.18,8,20.1,-17.3
,Dezembro de 2021,141.71,5.6,19.3,17.2
,Novembro de 2021,120.88,3,13.2,5
,Outubro de 2021,115.16,1.2,6.5,5.9
,Setembro de 2021,108.73,0.4,4.7,-2
,Agosto de 2021,111,0.1,9.3,-5.4
,Julho de 2021,117.32,-1.2,8.7,10.3
,Junho de 2021,106.38,-2.5,11.9,-1.9
,Maio de 2021,108.42,-3.9,19.9,6.1
,Abril de 2021,102.17,-6.7,13.6,-1.1
,Março de 2021,103.35,-8.5,-12.7,15
,Fevereiro de 2021,89.87,-6.4,-14,-7.9
,Janeiro de 2021,97.57,-4.9,-8.8,-17.8
,Dezembro de 2020,118.76,-4,-7.2,11.2
,Novembro de 2020,106.76,-2.7,-7.6,-1.3
,Outubro de 2020,108.12,-2.6,-3.2,4.1
,Setembro de 2020,103.84,-1.7,0.9,2.3
,Agosto de 2020,101.52,-1.2,-6,-5.9
,Julho de 2020,107.92,0.6,-6.6,13.5
,Junho de 2020,95.08,1.9,-6.9,5.2
,Maio de 2020,90.41,2.4,-17.6,0.5
,Abril de 2020,89.93,4.4,-12.4,-24.1
,Março de 2020,118.42,5.8,12.8,13.3
,Fevereiro de 2020,104.54,5.1,5.2,-2.2
,Janeiro de 2020,106.94,5.1,2.9,-16.4
,Dezembro de 2019,127.97,5.3,6.6,10.7
,Novembro de 2019,115.6,4.9,10.3,3.5
,Outubro de 2019,111.64,4.1,4.5,8.5
,Setembro de 2019,102.87,4.1,5.6,-4.8
,Agosto de 2019,108,3.6,3.9,-6.5
,Julho de 2019,115.5,3.7,7.5,13.1
,Junho de 2019,102.12,3.2,0.3,-7
,Maio de 2019,109.77,3.3,5.5,6.9
,Abril de 2019,102.68,3,4.4,-2.2
,Março de 2019,104.97,2.9,4.3,5.7
,Fevereiro de 2019,99.35,2.4,4.6,-4.4
,Janeiro de 2019,103.93,2.4,5.8,-13.4
"479: Comércio a retalho não efetuado em estabelecimentos, bancas, feiras ou unidades móveis de venda",Outubro de 2023,204.12,17.5,11,11.4
,Setembro de 2023,183.23,18.9,0.1,7.3
,Agosto de 2023,170.8,21.2,5.5,-10.2
,Julho de 2023,,,,
,Junho de 2023,193.77,24.7,24.1,-6.6
,Maio de 2023,207.41,22.5,29.9,14.7
,Abril de 2023,180.86,20.3,21.8,-7.5
,Março de 2023,195.48,16.6,23.6,14.8
,Fevereiro de 2023,170.31,12.6,22,-7.7
,Janeiro de 2023,184.61,9.7,28.6,6.8
,Dezembro de 2022,172.81,7.2,16.9,-26.9
,Novembro de 2022,236.28,4.1,24.7,28.5
,Outubro de 2022,183.94,1.8,27.9,0.5
,Setembro de 2022,182.97,-0.7,25.9,13
,Agosto de 2022,161.88,-1.8,27.5,-9
,Julho de 2022,177.87,-2.9,23.8,13.9
,Junho de 2022,156.15,-4.9,-0.9,-2.2
,Maio de 2022,159.71,-2.1,3.8,7.6
,Abril de 2022,148.47,-1.8,-16.2,-6.1
,Março de 2022,158.14,2.9,-17,13.3
,Fevereiro de 2022,139.59,9.4,-12.8,-2.7
,Janeiro de 2022,143.5,13.8,-4.4,-2.9
,Dezembro de 2021,147.82,16.4,-17.1,-22
,Novembro de 2021,189.52,19.4,1.1,31.8
,Outubro de 2021,143.76,20.6,-5.1,-1.1
,Setembro de 2021,145.35,22.9,12.6,14.5
,Agosto de 2021,126.94,24,13.4,-11.7
,Julho de 2021,143.68,24.1,11.7,-8.8
,Junho de 2021,157.53,23.9,26.2,2.4
,Maio de 2021,153.82,21.3,9.3,-13.1
,Abril de 2021,177.07,18.2,45.9,-7.1
,Março de 2021,190.53,16.2,65,19
,Fevereiro de 2021,160.06,12.6,43.1,6.6
,Janeiro de 2021,150.15,8.8,25.3,-15.8
,Dezembro de 2020,198.71,8,22.4,6
,Novembro de 2020,187.44,6.5,10.4,23.7
,Outubro de 2020,151.48,5.1,18.2,17.4
,Setembro de 2020,129.08,2.3,26.6,15.3
,Agosto de 2020,111.96,-0.1,12.5,-13
,Julho de 2020,128.64,0.5,8.9,3.1
,Junho de 2020,124.8,0.9,-4.6,-11.3
,Maio de 2020,140.7,3.3,-16.5,15.9
,Abril de 2020,121.38,9.5,21.3,5.1
,Março de 2020,115.46,8.7,17.3,3.2
,Fevereiro de 2020,111.83,7.9,-7.3,-6.7
,Janeiro de 2020,119.86,10.7,-0.9,-26.2
,Dezembro de 2019,162.4,13.2,7.9,-4.3
,Novembro de 2019,169.72,15.4,-1.2,32.5
,Outubro de 2019,128.13,19,-12,25.6
,Setembro de 2019,101.99,24.9,-8.8,2.4
,Agosto de 2019,99.56,27.4,25.6,-15.8
,Julho de 2019,118.18,26.4,16.2,-9.7
,Junho de 2019,130.85,26.7,28.1,-22.4
,Maio de 2019,168.57,25.8,52.8,68.4
,Abril de 2019,100.09,21.6,10.2,1.6
,Março de 2019,98.47,20.9,4.8,-18.3
,Fevereiro de 2019,120.58,20.5,30.1,-0.3
,Janeiro de 2019,120.97,19.9,32.8,-19.6
